level,meaning_kr,kanji,reading,example,example_reading,example_meaning_kr
N4,밝다,明るい,あかるい,部屋が明るい。,へやがあかるい。,방이 밝다.
N4,가을,秋,あき,秋が好きです。,あきがすきです。,가을을 좋아합니다.
N4,열다,開ける,あける,ドアを開ける。,ドアをあける。,문을 열다.
N4,얕다,,あさい,海があさい。,うみがあさい。,바다가 얕다.
N4,맛,味,あじ,味がいい。,あじがいい。,맛이 좋다.
N4,머리,頭,あたま,頭が痛い。,あたまがいたい。,머리가 아프다.
N4,덥다,暑い,あつい,今日は暑い。,きょうはあつい。,오늘은 덥다.
N4,더위,暑さ,あつさ,暑さが続く。,あつさがつづく。,더위가 계속된다.
N4,모이다,集まる,あつまる,人が集まる。,ひとがあつまる。,사람이 모인다.
N4,모으다,集める,あつめる,お金を集める。,おかねをあつめる。,돈을 모으다.
N4,언니/누나,姉,あね,姉がいます。,あねがいます。,언니가 있다.
N4,사과하다,,あやまる,先生にあやまる。,せんせいにあやまる。,선생님께 사과하다.
N4,씻다,洗う,あらう,手を洗う。,てをあらう。,손을 씻다.
N4,걷다,歩く,あるく,公園を歩く。,こうえんをあるく。,공원을 걷다.
N4,아르바이트,アルバイト,アルバイト,アルバイトをする。,アルバイトをする。,아르바이트를 하다.
N4,설문조사,アンケート,アンケート,アンケートを書く。,アンケートをかく。,설문을 작성하다.
N4,안심,安心,あんしん,安心してください。,あんしんしてください。,안심하세요.
N4,안전하다,安全だ,あんぜんだ,ここは安全だ。,ここはあんぜんだ。,여기는 안전하다.

N4,안내,,あんない,駅で案内を受ける。,えきであんないをうける。,역에서 안내를 받는다.
N4,이하,,いか,この値段以下で買える。,このねだんいかでかえる。,이 가격 이하로 살 수 있다.
N4,이외,以外,いがい,日本以外の国に行きたい。,にほんいがいのくににいきたい。,일본 이외의 나라에 가고 싶다.
N4,아무리~해도,,いくら~ても,いくら勉強しても覚えられない。,いくらべんきょうしてもおぼえられない。,아무리 공부해도 외워지지 않는다.
N4,연못,池,いけ,池で魚を見る。,いけでさかなをみる。,연못에서 물고기를 본다.
N4,의견,意見,いけん,意見を言う。,いけんをいう。,의견을 말하다.
N4,돌,石,いし,石を投げる。,いしをなげる。,돌을 던진다.
N4,의사,医者,いしゃ,医者に相談する。,いしゃにそうだんする。,의사에게 상담하다.
N4,이상,以上,いじょう,これ以上できない。,これいじょうできない。,이 이상 못 한다.
N4,서두르다,急ぐ,いそぐ,駅まで急ぐ。,えきまでいそぐ。,역까지 서두르다.
N4,하다(겸양),いたす,いたす,私がいたします。,わたしがいたします。,제가 하겠습니다.
N4,받다,いただく,いただく,先生から本をいただく。,せんせいからほんをいただく。,선생님께 책을 받다.
N4,한 번,一度,いちど,一度行ったことがある。,いちどいったことがある。,한 번 간 적 있다.
N4,한 채,,いっけん,家が一軒ある。,いえがいっけんある。,집이 한 채 있다.
N4,열심히,,いっしょうけんめい,一生懸命勉強する。,いっしょうけんめいべんきょうする。,열심히 공부하다.
N4,다녀오겠습니다,,いってまいります,いってまいります。,いってまいります。,다녀오겠습니다.

N4,실,糸,いと,糸を使う。,いとをつかう。,실을 사용하다.
N4,시골,,いなか,いなかに住んでいる。,いなかにすんでいる。,시골에 살고 있다.
N4,여동생,妹,いもうと,妹がいる。,いもうとがいる。,여동생이 있다.
N4,색,色,いろ,好きな色を選ぶ。,すきないろをえらぶ。,좋아하는 색을 고르다.
N4,심다,,うえる,木を植える。,きをうえる。,나무를 심다.
N4,접수,,うけつけ,受付で名前を書く。,うけつけでなまえをかく。,접수에서 이름을 쓰다.
N4,(시험을) 치다,,うける,試験を受ける。,しけんをうける。,시험을 치다.
N4,움직이다,動く,うごく,ロボットが動く。,ロボットがうごく。,로봇이 움직인다.
N4,얇다,,うすい,紙が薄い。,かみがうすい。,종이가 얇다.
N4,노래,歌,うた,歌を聞く。,うたをきく。,노래를 듣다.
N4,노래를 부르다,歌う,うたう,歌を歌う。,うたをうたう。,노래를 부르다.
N4,치다,,うつ,ボールを打つ。,ボールをうつ。,공을 치다.
N4,베끼다,写す,うつす,ノートに写す。,ノートにうつす。,노트에 베끼다.
N4,찍히다,,うつる,写真に写る。,しゃしんにうつる。,사진에 찍히다.
N4,팔,,うで,腕が痛い。,うでがいたい。,팔이 아프다.
N4,솜씨가 뛰어나다,,うまい,料理がうまい。,りょうりがうまい。,요리를 잘한다.
N4,바다,,うみ,海へ行く。,うみへいく。,바다에 간다.
N4,낳다,,うむ,子どもを産む。,こどもをうむ。,아이를 낳다.
N4,팔다,売る,うる,野菜を売る。,やさいをうる。,야채를 팔다.
N4,시끄럽다,,うるさい,外がうるさい。,そとがうるさい。,밖이 시끄럽다.
N4,팔리다,売れる,うれる,この本はよく売れる。,このほんはよくうれる。,이 책은 잘 팔린다.
N4,운전,運転,うんてん,車を運転する。,くるまをうんてんする。,차를 운전하다.
N4,운동,運動,うんどう,毎日運動する。,まいにちうんどうする。,매일 운동한다.
N4,영업,営業,えいぎょう,店が営業している。,みせがえいぎょうしている。,가게가 영업 중이다.
N4,영어,英語,えいご,英語を勉強する。,えいごをべんきょうする。,영어를 공부하다.
N4,축하 선물,,おいわい,お祝いをもらう。,おいわいをもらう。,축하 선물을 받다.
N4,왕복,,おうふく,往復で切符を買う。,おうふくできっぷをかう。,왕복으로 표를 사다.
N4,많다,多い,おおい,人が多い。,ひとがおおい。,사람이 많다.
N4,많은 사람,,おおぜい,人が大勢いる。,ひとがおおぜいいる。,사람이 많이 있다.
N4,덕분에요,,おかげさまで,おかげさまで元気です。,おかげさまでげんきです。,덕분에 잘 지냅니다.
N4,일어나다,起きる,おきる,朝早く起きる。,あさはやくおきる。,아침 일찍 일어나다.
N4,옥상,,おくじょう,屋上に上がる。,おくじょうにあがる。,옥상에 올라가다.
N4,보내다,送る,おくる,メールを送る。,メールをおくる。,메일을 보내다.
N4,늦다,,おくれる,電車に遅れる。,でんしゃにおくれる。,전철에 늦다.
N4,행하다,行う,おこなう,イベントを行う。,イベントをおこなう。,행사를 진행하다.
N4,가르치다,教える,おしえる,日本語を教える。,にほんごをおしえる。,일본어를 가르치다.
N4,양력설,お正月,おしょうがつ,お正月に帰る。,おしょうがつにかえる。,설날에 돌아가다.
N4,누르다,押す,おす,ボタンを押す。,ボタンをおす。,버튼을 누르다.
N4,몸조리 잘하세요,,おだいじに,お大事に。,おだいじに。,몸조리 잘하세요.

N4,거스름돈,,おつり,おつりをもらう。,おつりをもらう。,거스름돈을 받다.
N4,소리,音,おと,音が聞こえる。,おとがきこえる。,소리가 들린다.
N4,떨어뜨리다,,おとす,財布を落とす。,さいふをおとす。,지갑을 떨어뜨리다.
N4,놀라다,,おどろく,結果に驚く。,けっかにおどろく。,결과에 놀라다.
N4,언니/누나,お姉さん,おねえさん,お姉さんに聞く。,おねえさんにきく。,언니에게 묻다.
N4,외우다,,おぼえる,単語を覚える。,たんごをおぼえる。,단어를 외우다.
N4,병문안,,おみまい,お見舞いに行く。,おみまいにいく。,병문안 가다.
N4,기념품,,おみやげ,お土産を買う。,おみやげをかう。,기념품을 사다.
N4,무겁다,重い,おもい,荷物が重い。,にもつがおもい。,짐이 무겁다.
N4,추억,,おもいで,思い出を話す。,おもいでをはなす。,추억을 이야기하다.
N4,장난감,,おもちゃ,おもちゃで遊ぶ。,おもちゃであそぶ。,장난감으로 놀다.
N4,이런/아니,,おや,おや、どうしたの？,おや、どうしたの？,어라, 무슨 일이야?
N4,엄지손가락,親指,おやゆび,親指を使う。,おやゆびをつかう。,엄지손가락을 사용하다.
N4,헤엄치다,泳ぐ,およぐ,海で泳ぐ。,うみでおよぐ。,바다에서 헤엄치다.
N4,접다,,おる,紙を折る。,かみをおる。,종이를 접다.
N4,감사 인사,,おれい,お礼を言う。,おれいをいう。,감사를 말하다.
N4,부러지다,,おれる,枝が折れる。,えだがおれる。,가지가 부러지다.
N4,끝나다,終わる,おわる,授業が終わる。,じゅぎょうがおわる。,수업이 끝나다.
N4,음악,音楽,おんがく,音楽を聞く。,おんがくをきく。,음악을 듣다.
N4,회장,会場,かいじょう,会場に入る。,かいじょうにはいる。,회장에 들어가다.
N4,기르다,,かう,犬を飼う。,いぬをかう。,개를 기르다.
N4,돌아가다,帰る,かえる,家に帰る。,いえにかえる。,집에 돌아가다.
N4,얼굴,顔,かお,顔を洗う。,かおをあらう。,얼굴을 씻다.
N4,거울,,かがみ,鏡を見る。,かがみをみる。,거울을 보다.
N4,장식하다,,かざる,部屋を飾る。,へやをかざる。,방을 장식하다.
N4,화재,火事,かじ,火事が起こる。,かじがおこる。,화재가 발생하다.
N4,알겠습니다,,かしこまりました,かしこまりました。,かしこまりました。,알겠습니다.
N4,빌려주다,貸す,かす,本を貸す。,ほんをかす。,책을 빌려주다.
N4,바람,風,かぜ,風が強い。,かぜがつよい。,바람이 강하다.
N4,세다,数える,かぞえる,数を数える。,かずをかぞえる。,수를 세다.
N4,가족,家族,かぞく,家族と話す。,かぞくとはなす。,가족과 이야기하다.
N4,분,方,かた,あの方は先生です。,あのかたはせんせいです。,저 분은 선생님입니다.
N4,딱딱하다,,かたい,パンが固い。,パンがかたい。,빵이 딱딱하다.

N4,모양,,かたち,形を変える。,かたちをかえる。,모양을 바꾸다.
N4,정리하다,,かたづける,部屋を片付ける。,へやをかたづける。,방을 정리하다.
N4,커터칼,カッター,カッター,カッターで切る。,カッターできる。,커터칼로 자르다.
N4,벽,,かべ,壁に絵をかける。,かべにえをかける。,벽에 그림을 걸다.
N4,상관없습니다,,かまいません,それでもかまいません。,それでもかまいません。,그래도 괜찮습니다.
N4,종이,紙,かみ,紙に書く。,かみにかく。,종이에 쓰다.
N4,씹다,,かむ,よくかんで食べる。,よくかんでたべる。,잘 씹어서 먹다.
N4,다니다,通う,かよう,学校に通う。,がっこうにかよう。,학교에 다니다.
N4,몸,体,からだ,体を動かす。,からだをうごかす。,몸을 움직이다.
N4,가볍다,軽い,かるい,荷物が軽い。,にもつがかるい。,짐이 가볍다.
N4,마르다,,かわく,服が乾く。,ふくがかわく。,옷이 마르다.
N4,대신,代わり,かわり,私の代わりに行く。,わたしのかわりにいく。,나 대신 가다.
N4,생각하다,考える,かんがえる,よく考える。,よくかんがえる。,잘 생각하다.
N4,관계,,かんけい,関係がある。,かんけいがある。,관계가 있다.
N4,한자,漢字,かんじ,漢字を勉強する。,かんじをべんきょうする。,한자를 공부하다.
N4,기회,,きかい,いい機会だ。,いいきかいだ。,좋은 기회다.
N4,위험,,きけん,ここは危険だ。,ここはきけんだ。,여기는 위험하다.
N4,기술,,ぎじゅつ,技術を学ぶ。,ぎじゅつをまなぶ。,기술을 배우다.
N4,기타구,北区,きたく,北区に住んでいる。,きたくにすんでいる。,기타구에 살고 있다.
N4,우표,切手,きって,切手を貼る。,きってをはる。,우표를 붙이다.
N4,엄하다,,きびしい,先生が厳しい。,せんせいがきびしい。,선생님이 엄하다.
N4,기분,気分,きぶん,気分がいい。,きぶんがいい。,기분이 좋다.
N4,결정되다,決まる,きまる,日程が決まる。,にっていがきまる。,일정이 정해지다.
N4,옷,着物,きもの,着物を着る。,きものをきる。,기모노를 입다.
N4,급행,急行,きゅうこう,急行に乗る。,きゅうこうにのる。,급행을 타다.
N4,갑자기,急に,きゅうに,急に雨が降る。,きゅうにあめがふる。,갑자기 비가 오다.
N4,교실,教室,きょうしつ,教室に入る。,きょうしつにはいる。,교실에 들어가다.
N4,경쟁,,きょうそう,競争が激しい。,きょうそうがはげしい。,경쟁이 치열하다.
N4,흥미,,きょうみ,日本語に興味がある。,にほんごにきょうみがある。,일본어에 흥미가 있다.
N4,작년,去年,きょねん,去年日本に行った。,きょねんにほんにいった。,작년에 일본에 갔다.
N4,은색,銀色,ぎんいろ,銀色の車。,ぎんいろのくるま。,은색 차.
N4,은행,銀行,ぎんこう,銀行でお金をおろす。,ぎんこうでおかねをおろす。,은행에서 돈을 찾다.
N4,근처,近所,きんじょ,近所を散歩する。,きんじょをさんぽする。,근처를 산책하다.
N4,구,区,く,この区に住んでいる。,このくにすんでいる。,이 구에 살고 있다.
N4,상태,,ぐあい,具合が悪い。,ぐあいがわるい。,상태가 안 좋다.
N4,공항,空港,くうこう,空港に着く。,くうこうにつく。,공항에 도착하다.

N4,약,薬,くすり,薬を飲む。,くすりをのむ。,약을 먹다.
N4,목,首,くび,首が痛い。,くびがいたい。,목이 아프다.
N4,구름,雲,くも,雲が多い。,くもがおおい。,구름이 많다.
N4,어둡다,暗い,くらい,部屋が暗い。,へやがくらい。,방이 어둡다.
N4,비교하다,,くらべる,二つを比べる。,ふたつをくらべる。,두 개를 비교하다.
N4,검다,黒い,くろい,黒い服を着る。,くろいふくをきる。,검은 옷을 입다.
N4,계획,計画,けいかく,計画を立てる。,けいかくをたてる。,계획을 세우다.
N4,경험,経験,けいけん,いい経験になる。,いいけいけんになる。,좋은 경험이 되다.
N4,게임,ゲーム,ゲーム,ゲームをする。,ゲームをする。,게임을 하다.
N4,상처,,けが,けがをする。,けがをする。,상처를 입다.
N4,경치,,けしき,景色を見る。,けしきをみる。,경치를 보다.
N4,결과,,けっか,結果が出る。,けっかがでる。,결과가 나오다.
N4,현,県,けん,この県に住む。,このけんにすむ。,이 현에 살다.
N4,월요일,月曜日,げつようび,月曜日に行く。,げつようびにいく。,월요일에 가다.
N4,원인,,げんいん,原因を調べる。,げんいんをしらべる。,원인을 조사하다.
N4,싸움,,けんか,友達とけんかする。,ともだちとけんかする。,친구와 싸우다.
N4,견학,,けんがく,工場を見学する。,こうじょうをけんがくする。,공장을 견학하다.
N4,건강함,,げんき,元気です。,げんきです。,건강합니다.
N4,연구,研究,けんきゅう,研究をする。,けんきゅうをする。,연구를 하다.
N4,공원,公園,こうえん,公園で遊ぶ。,こうえんであそぶ。,공원에서 놀다.
N4,교외,,こうがい,郊外に住む。,こうがいにすむ。,교외에 살다.
N4,공사,工事,こうじ,工事が始まる。,こうじがはじまる。,공사가 시작되다.
N4,공장,工場,こうじょう,工場で働く。,こうじょうではたらく。,공장에서 일하다.
N4,목소리,声,こえ,声が聞こえる。,こえがきこえる。,목소리가 들린다.
N4,얼음,氷,こおり,氷を入れる。,こおりをいれる。,얼음을 넣다.
N4,마음,心,こころ,心が痛む。,こころがいたむ。,마음이 아프다.
N4,고장,,こしょう,機械が故障する。,きかいがこしょうする。,기계가 고장 나다.
N4,대답하다,答える,こたえる,質問に答える。,しつもんにこたえる。,질문에 대답하다.
N4,잘다,,こまかい,字が細かい。,じがこまかい。,글자가 작다/잘다.
N4,붐비다,,こむ,道が混む。,みちがこむ。,길이 붐비다.
N4,무섭다,,こわい,犬がこわい。,いぬがこわい。,개가 무섭다.
N4,망가지다,,こわれる,時計が壊れる。,とけいがこわれる。,시계가 망가지다.
N4,이번,今度,こんど,今度行こう。,こんどいこう。,이번에 가자.
N4,최근,最近,さいきん,最近忙しい。,さいきんいそがしい。,최근 바쁘다.
N4,마지막,最後,さいご,最後まで頑張る。,さいごまでがんばる。,끝까지 노력하다.
N4,언덕,,さか,坂を上る。,さかをのぼる。,언덕을 오르다.
N4,찾다,,さがす,鍵を探す。,かぎをさがす。,열쇠를 찾다.
N4,드리다,,さしあげる,先生に本を差し上げる。,せんせいにほんをさしあげる。,선생님께 책을 드리다.
N4,(우산을) 쓰다,,さす,傘をさす。,かさをさす。,우산을 쓰다.
N4,권하다,,さそう,友達を誘う。,ともだちをさそう。,친구를 권하다.
N4,조금 전,,さっき,さっき来た。,さっききた。,방금 왔다.
N4,쓸쓸하다,,さびしい,一人でさびしい。,ひとりでさびしい。,혼자라 쓸쓸하다.
N4,춥다,寒い,さむい,今日は寒い。,きょうはさむい。,오늘은 춥다.
N4,접시,皿,さら,皿を洗う。,さらをあらう。,접시를 씻다.
N4,만지다,,さわる,犬にさわる。,いぬにさわる。,개를 만지다.
N4,산업,産業,さんぎょう,産業が発達する。,さんぎょうがはったつする。,산업이 발달하다.
N4,유감이다,,ざんねんだ,それは残念だ。,それはざんねんだ。,그건 유감이다.
N4,시합,試合,しあい,試合を見る。,しあいをみる。,시합을 보다.
N4,야단치다,,しかる,子どもをしかる。,こどもをしかる。,아이를 야단치다.
N4,일,仕事,しごと,仕事をする。,しごとをする。,일을 하다.
N4,준비,,したく,出かけるしたくをする。,でかけるしたくをする。,외출 준비를 하다.
N4,확실히,,しっかり,しっかり勉強する。,しっかりべんきょうする。,확실히 공부하다.
N4,실패,,しっぱい,試験に失敗する。,しけんにしっぱいする。,시험에 실패하다.
N4,질문,質問,しつもん,質問をする。,しつもんをする。,질문을 하다.
N4,무례하다,,しつれいだ,それは失礼だ。,それはしつれいだ。,그건 무례하다.
N4,자전거,自転車,じてんしゃ,自転車に乗る。,じてんしゃにのる。,자전거를 타다.
